Nupur Asthana	2
Luv Ranjan	2
Raj Kumar Gupta	2
Zoya Akhtar	4
Rohan Sippy	2
Sudhir Mishra	2
Imtiaz Ali	4
Siddique (director)	2
Anubhav Sinha	2.5
Gauri Shinde	2
Shoojit Sircar	4.5
Anurag Kashyap	4
Homi Adajania	2
Karan Johar	3.5
Vishwas Patil	2
Ram Gopal Varma	2.5
Saurabh Varma	2
Ritesh Batra	2
Ankush Bhatt	2
Aditya Datt	2
Anand Kumar	2
Kamal Haasan	2
Vishal Bhardwaj	4
David Dhawan	2
Maneesh Sharma	3.5
Abhishek Kapoor	2
Rakeysh Omprakash Mehra	2
Vishesh Bhatt	2
Indra Kumar	3.5
Punit Malhotra	2
Rajkumar Santoshi	3
Kannan Iyer	2
Subhash Kapoor	2
Faraz Haider	2
Apoorva Lakhia	2
Sajid Khan	2
Sanjay Leela Bhansali	4
Vikramaditya Motwane	2
Atul Sabharwal	2
Sanjay Gupta	3
Tigmanshu Dhulia	3.5
Vijay Krishna Acharya	2
Rohit Shetty	3
Prakash Jha	3.5
Rakesh Roshan	3.5
Shibu Mitra	2
Kabir Khan	3.5
Shailesh Verma	2
Vivek Agnihotri	2
Amole Gupte	2
Syed Ahmad Afzal	2
Hasnain Hyderabadwala	2
Omung Kumar	2
Samar Shaikh	2
Divya Khosla Kumar	2
Harry Baweja	2
Vishal Pandya	2
Vikas Bahl	2
Shashanka Ghosh	2
Mohit Suri	3
Pradeep Sarkar	2
Siddharth Anand	2
Ketan Mehta	2
Shashank Khaitan	2
Sajid-Farhad	2
Habib Faisal	2
Kunal Deshmukh	2
Abhishek Chaubey	2
Shaad Ali	2
Abhishek Varman	2
Ali Abbas Zafar	2
Rajkumar Hirani	4.5
Sajid Nadiadwala	2
Sohail Khan	2
Farah Khan	3
Nitesh Tiwari	3.5
Navdeep Singh	2
Umesh Shukla	3
Bobby Khan	2
Bhushan Patel	2
Anees Bazmee	2.5
Sachindra Sharma	2
Prawaal Raman	2
Fuwad Khan	2
Madhur Bhandarkar	3
Abhishek Dogra	2
Karan Anshuman	2
Devang Dholakia	2
Dibakar Banerjee	4.5
Vibhu Puri	2
Aejaz Gulab	2
Remo Fernandes	2
Remo D'souza	2
Karan Malhotra	2
Neeraj Pandey	4.5
Sharat Katariya	2
Nishikant Kamat	2
Sriram Raghavan	4
Vikramjit Singh	2
Farhan Akhtar	4
